study_hours,attendance,assignment_score,previous_score,sleep_hours,extracurricular_hours,performance
5.3,56.1,56.5,48.4,7.8,3.4,Average
3.7,56.3,53.1,65.3,4.6,1.0,At Risk
5.4,79.5,53.2,70.4,8.1,0.0,Average
3.1,62.0,97.4,55.2,4.9,0.5,At Risk
6.9,82.2,88.4,78.8,6.9,4.9,Excellent
6.7,82.8,91.7,69.6,7.7,0.2,Excellent
2.2,68.0,44.8,49.0,5.0,1.4,At Risk
3.3,64.4,56.0,91.2,7.4,3.0,Average
1.8,87.8,49.8,57.8,9.0,3.2,At Risk
6.8,89.9,53.7,36.9,5.9,1.3,Average
2.1,97.4,92.6,53.9,7.4,2.0,Average
2.5,66.1,73.7,50.8,7.1,4.5,At Risk
3.5,64.9,99.9,65.6,4.9,0.2,Average
6.4,74.0,43.8,57.9,9.0,2.6,Average
7.8,93.7,40.7,78.2,7.6,2.7,Excellent
1.3,74.6,67.2,92.2,8.4,1.3,Average
4.3,63.0,94.8,87.2,5.8,3.2,Average
6.2,79.3,86.7,66.8,4.5,1.6,Average
0.6,96.8,92.7,84.9,5.9,0.3,Average
1.1,76.9,44.2,80.6,7.9,0.6,At Risk
4.1,79.7,55.9,87.3,6.4,1.1,Average
2.0,69.0,99.7,74.0,6.5,2.6,Average
1.4,65.1,60.3,70.3,5.5,1.1,At Risk
2.2,95.7,91.6,39.3,5.6,3.3,Average
2.1,61.0,96.1,69.3,6.6,3.9,Average
1.2,74.4,65.4,63.0,7.8,3.4,At Risk
7.9,59.4,64.2,55.4,8.4,1.2,Average
3.7,67.5,55.0,90.4,6.5,4.3,Average
4.6,57.3,100.0,85.2,8.9,4.6,Average
4.1,64.6,64.1,38.5,6.2,4.9,At Risk
2.5,90.3,67.3,60.4,8.8,5.0,Average
1.7,68.4,98.1,69.8,6.9,3.7,Average
0.9,81.3,70.2,86.2,5.2,4.8,At Risk
5.0,85.4,54.1,42.2,8.5,1.2,Average
5.0,82.9,65.2,70.0,6.9,4.7,Average
2.3,72.8,80.3,53.0,5.9,3.8,Average
1.0,75.6,99.9,94.8,4.8,1.1,Average
7.1,94.6,62.2,44.5,8.3,3.5,Excellent
5.1,99.4,79.2,35.5,8.2,1.5,Average
1.5,60.2,46.4,68.2,5.7,3.0,At Risk
5.9,64.2,78.1,50.8,6.7,4.5,Average
3.7,67.5,40.2,81.3,7.4,1.3,At Risk
6.1,79.8,65.7,35.6,4.8,4.4,Average
6.8,81.2,48.9,42.6,5.9,4.5,Average
6.5,93.7,93.9,47.6,5.6,0.5,Excellent
3.5,82.9,49.3,90.8,8.4,4.9,Average
6.6,94.7,41.5,79.2,6.0,4.7,Average
6.6,67.0,87.2,41.5,8.4,4.3,Average
2.2,91.7,67.6,53.3,8.1,1.1,Average
3.0,93.9,98.0,51.7,7.4,2.0,Average
7.9,79.1,96.4,41.9,8.9,0.9,Excellent
1.3,74.6,83.7,53.8,7.2,2.6,At Risk
3.4,80.9,55.3,77.5,4.5,4.6,At Risk
6.1,85.2,61.9,39.2,7.5,1.7,Average
2.9,93.2,83.2,53.0,5.9,2.0,Average
1.5,73.9,96.4,75.6,8.6,3.1,Average
2.8,79.7,40.0,52.2,6.4,2.9,At Risk
3.8,64.6,68.4,89.1,8.1,0.8,Average
1.1,78.2,78.0,55.1,8.2,3.8,At Risk
2.0,56.1,54.7,63.5,8.3,0.4,At Risk
3.6,83.3,51.7,76.8,6.7,1.2,Average
6.1,89.7,46.4,60.5,5.3,4.8,Average
4.4,57.3,55.0,85.9,6.6,4.0,At Risk
5.0,97.8,93.5,71.8,7.7,2.5,Average
6.7,79.7,93.8,79.6,6.6,1.3,Excellent
6.2,78.5,77.6,51.5,4.8,1.4,Average
2.5,69.4,72.4,43.3,5.5,3.5,At Risk
3.6,79.4,64.9,47.4,6.4,4.5,At Risk
4.9,86.3,91.4,80.9,6.2,0.0,Average
6.9,97.9,65.1,79.9,7.0,3.0,Excellent
2.2,64.9,66.2,36.7,6.0,3.4,At Risk
4.0,60.7,77.3,36.6,6.3,2.8,At Risk
0.7,83.9,48.1,62.7,4.7,1.9,At Risk
6.2,72.1,85.1,84.9,5.6,0.4,Excellent
0.6,79.3,100.0,56.0,7.4,3.9,At Risk
7.6,64.0,41.2,44.1,5.1,3.3,At Risk
4.7,64.8,82.0,81.0,5.3,3.0,Average
6.6,98.4,46.5,36.5,5.9,3.4,Average
7.7,72.8,82.9,39.6,7.6,3.1,Excellent
6.9,82.0,47.3,94.0,8.0,1.7,Excellent
3.7,71.7,70.4,55.5,8.3,4.1,Average
5.3,92.3,82.4,61.1,7.8,4.8,Excellent
2.5,91.4,72.3,64.0,6.5,3.7,Average
6.7,58.9,92.9,49.6,6.6,3.1,Average
3.3,56.3,91.1,45.9,5.5,4.0,At Risk
5.8,67.4,40.6,91.9,4.9,3.6,Average
4.2,89.1,81.4,73.8,6.7,4.0,Average
5.7,68.8,74.9,63.4,6.9,2.1,Average
6.1,69.9,82.2,51.3,5.6,0.6,Average
4.5,89.3,51.1,48.0,6.7,3.6,Average
7.8,78.6,57.0,41.0,5.4,1.1,Average
4.5,67.3,98.5,68.2,7.6,0.6,Average
7.0,77.1,92.4,69.4,6.6,2.2,Excellent
7.6,76.5,89.3,59.0,4.8,3.1,Excellent
0.9,61.7,73.8,53.2,9.0,0.6,At Risk
6.4,65.2,71.4,62.0,6.5,4.3,Average
7.9,68.7,77.3,71.6,7.8,4.7,Excellent
5.5,62.1,50.4,39.5,4.5,2.3,At Risk
5.0,68.1,53.9,77.4,7.7,2.3,Average
6.4,83.1,79.7,91.0,6.4,2.7,Average
5.4,95.9,89.6,39.3,5.2,1.5,Average
2.7,60.6,81.3,77.0,8.7,2.5,Average
4.2,58.6,42.4,60.9,6.0,1.3,Average
6.8,80.9,97.0,95.0,7.5,1.3,Excellent
0.8,89.0,68.2,74.1,8.6,0.9,At Risk
4.2,59.1,60.9,55.0,7.5,4.3,At Risk
3.0,86.2,57.3,91.7,8.2,2.8,Average
2.9,98.7,64.3,65.9,8.9,3.3,Average
4.6,73.6,51.3,56.7,7.9,3.1,Average
4.6,96.7,66.3,76.9,5.0,4.9,Average
5.1,65.8,49.5,68.1,7.0,0.5,Average
4.0,60.3,89.9,64.9,7.7,2.5,Average
2.6,92.6,98.8,49.6,7.0,1.9,Average
7.1,93.9,56.6,82.4,6.4,4.7,Excellent
4.3,91.9,57.0,52.9,7.1,5.0,Average
4.5,70.5,73.1,67.6,6.5,1.6,Average
1.9,86.4,74.3,49.0,8.0,0.2,At Risk
6.6,72.4,79.8,84.2,8.9,2.5,Average
0.8,77.6,75.4,87.2,8.4,2.2,At Risk
5.9,73.4,79.3,44.3,6.6,4.8,Average
3.0,86.2,79.0,86.1,8.3,4.3,Average
5.9,89.2,92.3,37.2,4.8,3.2,Average
7.4,99.9,84.8,61.0,4.9,3.2,Excellent
5.7,95.7,42.8,82.8,5.8,1.9,Average
1.6,78.9,74.0,82.6,5.3,0.4,Average
2.3,96.1,48.6,62.7,5.6,1.3,At Risk
0.6,91.2,94.1,75.7,5.2,2.2,Average
